product_id,sku,name,brand,price_current,price_original,discount_amt,currency,installment,in_stock,category,url,image
110787,TM-DG-SBP-1105-SM-3596,Samsung Galaxy Z Flip7 (F766) 12/256 GB Black,Samsung,1999.99,2519.99,520,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-z-flip7-f766-12-256-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3596_1.png
105941,TM-DG-SBP-1105-SM-3446,Samsung Galaxy A56 (SM-A566E) 8/128 GB Light Pink,Samsung,789.99,999.99,210,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a56-sm-a566e-8-128-gb-light-pink,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3446_1.png
105937,TM-DG-SBP-1105-SM-3442,Samsung Galaxy A36 (SM-A366E) 8/256 GB Light Violet,Samsung,719.99,919.99,200,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a36-sm-a366e-8-256-gb-light-violet,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3442_1-8732d695.webp
117736,TM-DG-SBP-1105-SM-3852,HONOR X9d 8/256 GB Forest Green,HONOR,669.99,899.99,230,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x9d-8-256-gb-forest-green,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3852_1.png
113486,TM-DG-SBP-1105-SM-3624,Motorola moto g56 5G 12/256 GB Pantone Dazzling Blue,Motorola,529.99,599.99,70,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/motorola-moto-g56-5g-12-256-gb-pantone-dazzling-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3624_1.png
115133,TM-DG-SBP-1105-SM-3665,Samsung Galaxy S25 FE (SM-S731) 8/256 GB Dark Blue,Samsung,1319.99,1619.99,300,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-s25-fe-sm-s731-8-256-gb-dark-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3665_1-a8c7302a.webp
114776,TM-DG-SBP-1105-SM-3780,OPPO Reno14 F 8/256 GB Luminous Green,OPPO,849.99,949.99,100,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/oppo-reno14-f-8-256-gb-luminous-green,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3780_1.png
110783,TM-DG-SBP-1105-SM-3595,Samsung Galaxy Z Flip7 (F766) 12/256 GB Dark Blue,Samsung,1999.99,2519.99,520,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-z-flip7-f766-12-256-gb-dark-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3595_10-ff4dd278.webp
105939,TM-DG-SBP-1105-SM-3444,Samsung Galaxy A56 (SM-A566E) 8/128 GB Gray,Samsung,789.99,999.99,210,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a56-sm-a566e-8-128-gb-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3444_1.png
121260,TM-DG-SBP-1105-SM-3971,Xiaomi Redmi Note 15 Pro+ 5G 12/512 GB Black,Xiaomi,1069.99,1369.99,300,AZN,0% 18 ay,Unknown,Smartfonlar,https://kontakt.az/xiaomi-redmi-note-15-pro-plus-5g-12-512-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3971_1-f8c9ce11.webp
