product_id,name,brand,barcode,price_current,price_original,discount_amt,discount_pct,currency,installment_monthly,available,stock_qty,label,category,url,image
11454,Telefon Xiaomi Redmi Note 14 8/256GB Ocean Blue,Xiaomi,NOTE 14 8/256 OCEAN BLUE,429.99,549.99,60.0,12.2,AZN,35.83,LimitedQuantity,1,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-8-256gb-ocean-blue-p11454,https://static.elitoptimal.az/ElitOptimal/e2d80aa2-c187-470c-a4a4-ca410f9c2f00_Thumb.jpeg
11453,Telefon Xiaomi Redmi Note 14 8/256GB Black,Xiaomi,NOTE 14 8/256 MIDN BLACK,429.99,549.99,60.0,12.2,AZN,35.83,LimitedQuantity,12,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-8-256gb-black-p11453,https://static.elitoptimal.az/ElitOptimal/ad9c535d-c9cb-4ede-83b1-28cdc704de97_Thumb.jpeg
11452,Telefon Xiaomi Redmi Note 14 8/256GB Lime Green,Xiaomi,NOTE 14 8/256 LIME GREEN,429.99,549.99,60.0,12.2,AZN,35.83,LimitedQuantity,17,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-8-256gb-lime-green-p11452,https://static.elitoptimal.az/ElitOptimal/b4c55a01-9869-4ba6-9590-3080f35e99a8_Thumb.jpeg
11451,Telefon Xiaomi Redmi Note 14 6/128GB Black,Xiaomi,NOTE 14 6/128 MIDN BLACK,379.99,479.99,100.0,,AZN,31.67,LimitedQuantity,1,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-6-128gb-black-p11451,https://static.elitoptimal.az/ElitOptimal/784e1fc4-480a-44e5-b07a-d2e40e770525_Thumb.jpeg
11450,Telefon Xiaomi Poco C71 4/128GB Blue,Xiaomi,C71 4/128 BLUE,209.99,269.99,60.0,,AZN,17.5,LimitedQuantity,4,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-poco-c71-4-128gb-blue-p11450,https://static.elitoptimal.az/ElitOptimal/96e24a6a-dbf9-4300-96b0-559346d660b3_Thumb.jpeg
11449,Telefon Xiaomi Poco C71 4/128GB Black,Xiaomi,C71 4/128 BLACK,209.99,269.99,60.0,,AZN,17.5,InStock,25,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-poco-c71-4-128gb-black-p11449,https://static.elitoptimal.az/ElitOptimal/d655872e-0733-42e1-90e5-62e3bb5a1487_Thumb.jpeg
11448,Telefon Xiaomi Redmi A5 3/64GB Midnight Black,Xiaomi,A5 3/64 MIDN BLACK,179.99,229.99,10.0,5.3,AZN,15.0,LimitedQuantity,18,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-a5-3-64gb-midnight-black-p11448,https://static.elitoptimal.az/ElitOptimal/9df26d8e-011b-4087-8bb3-27a507e95b28_Thumb.jpeg
11308,Telefon Samsung Galaxy АЗ5 8/256GB Lilac,Samsung,SM-A356ELVGSKZ-,629.99,799.99,170.0,,AZN,52.5,LimitedQuantity,1,,Samsung telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-az5-8-256gb-lilac-p11308,https://static.elitoptimal.az/ElitOptimal/4720aaf8-8807-466b-9e69-dbcd23fc8320_Thumb.jpeg
11305,Telefon Xiaomi Redmi Note 14 Pro NFC 8/256GB blue,Xiaomi,REDMI NOTE 14 PRO NFC 8/256GB BLUE-,569.99,699.99,130.0,,AZN,47.5,LimitedQuantity,2,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-pro-nfc-8-256gb-blue-p11305,https://static.elitoptimal.az/ElitOptimal/1c4a12b6-64dd-4896-98de-f979d7c1589e_Thumb.jpeg
11296,Telefon Xiaomi Redmi Note 14 Pro Plus NFC 12/512 purple,Xiaomi,NOTE 14PRO PLUS NFC 12/512GB PURPL-,999.99,1199.99,200.0,,AZN,83.33,LimitedQuantity,6,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-pro-plus-nfc-12-512-purple-p11296,https://static.elitoptimal.az/ElitOptimal/8c17f75d-9268-46da-81f4-b3d4cfbea622_Thumb.jpeg
