product_id,name,price_current,price_original,currency,badges,specs,url,image
8047,HONOR 400 (8GB RAM) Desert Gold 256GB,919.00,1019.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.55"" | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1264 x 2736 | Ekran növü AMOLED",https://bytelecom.az/az/products/honor-400-8gb-ram,https://bytelecom.az//media/2025/11/03/product_images/41520/honor-400-gold-1.jpg
8033,İnfinix GT30 Pro (12GB RAM) Shadow Ash 256GB,879.00,999.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1224 x 2720 | Ekran növü AMOLED",https://bytelecom.az/az/products/infinix-gt30-pro-12gb-ram,https://bytelecom.az//media/2025/07/04/product_images/38369/gt30-pro-ash-1.jpg
8032,İnfinix Note 50 (8GB RAM) Grey 256GB,589.00,639.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2436 | Ekran növü AMOLED",https://bytelecom.az/az/products/infinix-note-50-8gb-ram,https://bytelecom.az//media/2025/07/04/product_images/38359/note-50-gray-1.jpg
8031,İnfinix Smart 10 (4GB RAM) Blue 64GB,209.00,229.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 3 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 720 x 1600 | Ekran növü IPS LCD",https://bytelecom.az/az/products/infinix-smart-10-4gb-ram,https://bytelecom.az//media/2025/10/20/product_images/40975/smart-10-blue-1.jpg
8007,İnfinix Note 50 Pro (12GB RAM) Titanium Gray 256GB,729.00,819.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.78"" | Operativ yaddaş 12 GB | Ekran icazəsi 1080 x 2436 | Ekran növü AMOLED | Prosessor növü Mediatek Helio G100 Ultimate (6 nm)",https://bytelecom.az/az/products/infinix-note-50-pro-12gb-ram,https://bytelecom.az//media/2025/08/11/product_images/39230/note-50-pro-gray-1-copy.png
8001,Xiaomi Redmi Note 14S NFC (8GB RAM) Blue 256GB,469.00,519.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2400 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-redmi-note-14s-nfc-8gb-ram,https://bytelecom.az//media/2025/06/25/product_images/38286/note-14s-blue-1.jpg
8000,Xiaomi Poco F7 Pro NFC (12GB RAM) Silver 512GB,1249.00,1499.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.67'' | Operativ yaddaş 12 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1440 x 3200 | Ekran növü AMOLED",https://bytelecom.az/az/products/xiaomi-poco-f7-pro-nfc-12gb-ram,https://bytelecom.az//media/2025/06/07/product_images/38000/f7-pro-silver-1.jpg
7976,Samsung Galaxy A26 5G (6GB RAM) White 128GB,499.00,609.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 6 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2340 | Ekran növü Super Amoled",https://bytelecom.az/az/products/samsung-galaxy-a26-5g-6gb-ram,https://bytelecom.az//media/2025/06/04/product_images/37874/a26-white-1.jpg
7963,HONOR 400 Lite (8GB RAM) Green 256GB,639.00,719.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2412 | Ekran növü AMOLED",https://bytelecom.az/az/products/honor-400-lite-8gb-ram,https://bytelecom.az//media/2025/05/23/product_images/37729/honor-400-lite-green-1.jpg
7942,Samsung Galaxy A26 5G (8GB RAM) Pink 256GB,639.00,709.00,AZN,İlkin ödənişsiz və Faizsiz | Taksitlə al,"Ekran ölçüsü 6.7'' | Operativ yaddaş 8 GB | SIM-kart ölçüsü Dual SIM (Nano-SIM, dual stand-by) | Ekran icazəsi 1080 x 2340 | Ekran növü Super Amoled",https://bytelecom.az/az/products/samsung-galaxy-a26-5g-8gb-ram,https://bytelecom.az//media/2025/08/11/product_images/39250/a16-pink-1.jpg
